Student ID,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
S428,female,Group D,some college,free/reduced,none,41,58,60
S429,male,Group E,bachelor's degree,free/reduced,none,87,79,72
S430,female,Group E,high school,standard,none,92,94,94
S431,male,Group C,some college,standard,none,51,56,53
S432,male,Group C,some college,standard,none,75,75,78
S433,male,Group D,some high school,free/reduced,completed,46,53,54
S434,male,Group D,master's degree,free/reduced,completed,91,93,95
S435,male,Group C,associate's degree,standard,none,88,8,81
S436,male,Group C,some high school,standard,none,80,75,73
S438,female,Group E,bachelor's degree,standard,completed,92,87,92
S439,female,Group A,associate's degree,standard,none,61,65,59
S440,male,Group D,associate's degree,standard,none,72,62,60
S441,female,Group D,associate's degree,free/reduced,completed,64,67,75
S442,male,Group D,some high school,standard,none,82,7,67
S443,female,Group E,associate's degree,standard,completed,88,78,86
S444,male,Group C,some college,standard,none,59,48,48
S445,male,Group C,associate's degree,standard,none,81,66,58
S446,male,Group D,some high school,free/reduced,none,67,63,63
S447,male,Group C,some high school,free/reduced,completed,46,53,54
S448,female,Group C,some college,standard,none,79,93,81
S451,female,Group B,high school,standard,completed,66,62,66
S452,male,Group B,master's degree,standard,none,68,65,60
S453,female,Group C,high school,free/reduced,none,54,72,68
S454,male,Group B,bachelor's degree,free/reduced,none,76,74,76
S455,male,Group E,bachelor's degree,free/reduced,none,87,79,72
S456,female,Group D,associate's degree,standard,none,40,51,51
S458,male,Group C,some college,standard,completed,71,66,70
S459,female,Group B,associate's degree,standard,none,90,94,93
S460,female,Group C,some high school,standard,none,66,6,59
S461,female,Group D,high school,standard,none,77,9,82
S462,male,Group C,some high school,standard,none,79,65,67
S463,female,Group E,some college,standard,completed,68,78,77
S465,male,Group C,master's degree,standard,completed,84,76,81
S466,male,Group C,bachelor's degree,standard,none,86,87,90
S467,male,Group C,high school,standard,none,49,53,43
S468,male,Group E,some high school,standard,none,92,8,78
S470,male,Group E,some high school,standard,none,94,86,82
S471,male,Group D,some college,standard,none,81,62,61
S474,female,Group D,some college,free/reduced,none,43,48,53
S475,female,Group D,some college,standard,none,44,47,55
S476,female,Group C,high school,standard,none,87,92,81
S478,female,Group C,associate's degree,free/reduced,completed,79,89,96
S479,male,Group A,some college,standard,none,58,64,55
S480,male,Group D,master's degree,free/reduced,completed,67,71,70
S481,female,Group D,some college,standard,none,56,53,58
S482,female,Group C,associate's degree,free/reduced,none,52,65,60
S484,female,Group B,some college,free/reduced,completed,55,67,68
S485,female,Group C,associate's degree,free/reduced,completed,79,92,97
S486,male,Group B,bachelor's degree,standard,completed,94,82,93
S487,male,Group C,bachelor's degree,free/reduced,none,73,69,70
S488,male,Group E,some high school,standard,none,77,62,57
S489,female,Group C,master's degree,standard,completed,79,87,89
S490,male,Group E,some college,standard,completed,80,7,71
S491,male,Group E,some college,standard,completed,61,49,52
S493,male,Group D,some high school,standard,completed,56,48,54
S494,female,Group C,some college,free/reduced,none,28,32,28
S495,male,Group C,high school,free/reduced,none,56,67,62
S497,female,Group C,some high school,standard,none,60,61,57
S498,female,Group B,some high school,free/reduced,completed,46,63,66
S499,male,Group C,some college,free/reduced,completed,63,69,63
S500,male,Group B,high school,free/reduced,completed,73,68,71
S501,female,Group C,high school,free/reduced,none,34,66,59
S502,male,Group D,high school,standard,none,83,78,74
S503,female,Group D,associate's degree,free/reduced,completed,73,72,79
S504,male,Group C,some college,free/reduced,none,82,86,78
S505,female,Group C,some college,standard,none,79,93,81
S506,male,Group B,associate's degree,free/reduced,none,67,76,76
S507,male,Group C,some high school,free/reduced,none,38,38,30
S508,female,Group A,associate's degree,standard,none,73,76,74
S509,male,Group B,bachelor's degree,standard,completed,48,59,55
S510,female,Group C,bachelor's degree,standard,none,79,86,78
S511,female,Group A,some college,standard,none,70,82,83
S512,female,Group C,master's degree,standard,none,59,64,64
S513,female,Group D,master's degree,free/reduced,none,73,72,75
S514,female,Group C,some college,free/reduced,completed,64,81,87
S515,male,Group C,high school,free/reduced,none,75,79,68
S516,male,Group C,master's degree,standard,none,85,81,80
S517,male,Group D,high school,standard,completed,88,77,78
S519,male,Group E,some college,standard,completed,99,98,93
S520,male,Group C,bachelor's degree,free/reduced,none,73,69,70
S521,female,Group C,some high school,free/reduced,completed,62,74,71
S522,female,Group D,bachelor's degree,free/reduced,completed,59,78,80
S523,female,Group C,high school,standard,none,61,73,70
S524,male,Group D,bachelor's degree,standard,none,55,35,43
S525,female,Group C,bachelor's degree,standard,none,80,93,99
S526,female,Group D,master's degree,standard,completed,87,95,100
S527,female,Group D,high school,standard,none,83,78,74
S531,female,Group A,associate's degree,standard,completed,73,68,81
S532,female,Group B,high school,standard,none,52,56,54
S533,female,Group A,associate's degree,free/reduced,none,58,75,78
S534,male,Group C,some college,free/reduced,none,76,72,65
S535,female,Group E,associate's degree,standard,none,82,83,80
S536,female,Group D,some high school,free/reduced,completed,41,58,59
S537,female,Group B,some college,standard,completed,92,1,100
S538,male,Group B,some college,standard,none,85,8,73
S539,male,Group C,high school,free/reduced,none,66,66,58
S540,male,Group D,some college,free/reduced,completed,56,61,62
S541,female,Group C,high school,standard,none,69,67,63
S542,male,Group B,bachelor's degree,standard,none,84,8,77
S544,female,Group D,some college,standard,none,71,71,76
S545,male,Group B,high school,standard,none,64,57,52
S546,male,Group D,master's degree,free/reduced,completed,67,71,70
S547,male,Group D,some college,free/reduced,none,73,68,72
S548,male,Group D,bachelor's degree,free/reduced,none,63,59,51
S549,male,Group C,some high school,standard,completed,100,84,87
S550,male,Group B,some college,standard,completed,85,75,72
S551,male,Group D,bachelor's degree,free/reduced,none,63,59,51
S552,male,Group D,high school,standard,completed,65,6,57
S553,male,Group B,master's degree,standard,none,68,65,60
S554,female,Group C,associate's degree,free/reduced,completed,69,76,82
S555,female,Group B,some high school,standard,none,71,63,55
S556,male,Group E,master's degree,standard,none,43,45,38
S557,female,Group B,associate's degree,free/reduced,none,67,76,76
S558,male,Group C,some college,free/reduced,completed,65,62,63
S559,male,Group C,some college,free/reduced,none,62,65,61
S560,female,Group A,associate's degree,standard,none,72,85,81
S561,female,Group C,some high school,free/reduced,none,38,45,44
S562,female,Group C,high school,standard,completed,66,62,66
S564,female,Group E,some college,standard,none,62,65,65
S565,male,Group D,associate's degree,standard,completed,67,68,69
S566,male,Group C,high school,standard,none,84,71,66
S568,male,Group D,some college,standard,none,79,56,68
S569,female,Group C,some college,free/reduced,none,62,74,74
S570,female,Group A,some college,free/reduced,none,75,97,92
S571,male,Group C,associate's degree,free/reduced,none,44,55,61
S572,female,Group D,high school,free/reduced,none,75,81,87
S573,male,Group C,some college,standard,none,55,61,59
S574,female,Group C,high school,standard,none,87,9,85
S575,male,Group C,associate's degree,standard,none,80,76,74
S576,female,Group C,high school,standard,none,77,7,60
S577,female,Group C,some college,standard,completed,80,76,68
S578,female,Group C,some high school,standard,none,70,77,76
S579,female,Group D,some college,standard,none,80,75,74
S580,male,Group D,high school,standard,none,85,81,83
S582,female,Group B,some high school,standard,none,48,59,55
S583,male,Group E,high school,free/reduced,none,81,84,78
S584,female,Group D,master's degree,standard,none,62,71,74
S585,male,Group D,some high school,standard,none,67,59,59
S586,female,Group B,associate's degree,free/reduced,none,67,76,76
S587,female,Group C,some high school,free/reduced,completed,52,59,58
S588,female,Group C,some college,standard,none,53,59,59
S589,female,Group B,some college,standard,completed,80,93,99
S590,female,Group C,bachelor's degree,standard,none,64,82,80
S591,female,Group C,some college,standard,none,56,58,55
S592,male,Group C,bachelor's degree,standard,none,77,65,69
S593,female,Group B,associate's degree,standard,completed,63,72,78
S594,female,Group B,associate's degree,free/reduced,none,61,68,67
S595,female,Group C,some college,free/reduced,none,57,76,77
S596,female,Group A,high school,standard,none,79,86,84
S597,male,Group B,some college,standard,completed,83,79,80
S598,male,Group D,high school,standard,none,83,78,74
S600,female,Group B,associate's degree,standard,completed,80,81,85
S602,female,Group E,some college,standard,none,99,98,93
S603,male,Group B,bachelor's degree,standard,none,63,46,46
S604,female,Group A,some high school,standard,none,57,53,54
S605,female,Group C,some college,standard,completed,61,63,70
S606,male,Group C,some college,standard,none,43,51,38
S607,male,Group C,some college,standard,none,85,92,84
S608,male,Group C,bachelor's degree,free/reduced,none,51,53,51
S611,male,Group D,associate's degree,standard,none,95,86,83
S612,female,Group C,high school,free/reduced,none,24,48,46
S613,male,Group B,some college,free/reduced,completed,58,62,64
S614,male,Group B,some college,free/reduced,none,52,57,49
S615,female,Group C,some college,standard,none,82,84,83
S616,female,Group B,high school,free/reduced,none,69,78,75
S617,female,Group C,some college,standard,none,86,92,83
